marketing_year,quarter_period,beginning_stocks,production,imports,total_supply,industrial_use,seed_use,feed_residual,total_domestic_use,exports,total_use,ending_stocks
2022/23,Q2 December-February,10813.207,0,6.235,10819.442,1588.539,0,1434.398,3022.937,400.102,3423.039,7396.403
2022/23,Q3 March-May,7396.403,0,9.7,7406.103,1634.454,29.725,1006.754,2670.933,631.861,3302.794,4103.309
2022/23,Q4 June-August,4103.309,0,16.878,4120.187,1676.646,1.897,734.456,2412.999,346.987,2759.986,1360.201
2022/23,MY September-August,1376.89,13650.531,38.679,15066.1,6526.467,31.622,5485.899,12043.988,1661.911,13705.899,1360.201
2023/24,Q1 September-November,1360.201,15340.52,9.182,16709.903,1680.899,0,2488.908,4169.807,368.933,4538.74,12171.163
2023/24,Q2 December-February,12171.163,0,5.926,12177.089,1693.895,0,1585.788,3279.683,545.028,3824.711,8352.378
2023/24,Q3 March-May,8352.378,0,7.473,8359.851,1706.117,26.552,911.068,2643.737,719.066,3362.803,4997.048
2023/24,Q4 June-August,4997.048,0,5.831,5002.879,1769.16,3.282,845.245,2617.687,621.792,3239.479,1763.4
2023/24,MY September-August,1360.201,15340.52,28.412,16729.133,6850.071,29.834,5831.009,12710.914,2254.819,14965.733,1763.4
2024/25,Q1 September-November,1763.4,14891.756,5.691,16660.847,1718.711,0,2349.546,4068.257,517.183,4585.44,12075.407
2024/25,Q2 December-February,12075.407,0,4.66,12080.067,1688.731,0,1548.74,3237.471,695.159,3932.63,8147.437
2024/25,Q3 March-May,8147.437,0,5.805,8153.242,1667.939,29.736,929.519,2627.194,883.154,3510.348,4642.894
2024/25,Q4 June-August,4642.894,0,5.489,4648.383,1705.071,2.586,626.684,2334.341,762.756,3097.097,1551.286
2024/25,MY September-August,1763.4,14891.756,21.645,16676.801,6780.452,32.322,5454.489,12267.263,2858.252,15125.515,1551.286
2025/26,Q1 September-November,1551.286,17020.549,6,18577.835,1712.357,0,2738.112,4450.469,845,5295.469,13282.366
2025/26,MY September-August,1551.286,17020.549,25,18596.835,6941,29,6200,13170,3200,16370,2226.835
